test_id,timestamp,date,url,method,model,input_est_chars,output_chars,truncated,truncation_char_num,tokens_est,hypothesis_match,notes,track,cursor_version,file_size_bytes, md5_checksum,total_lines,total_words,code_blocks,table_rows,headers
BL-1,2026-03-17T12:46:15.199215,2026-03-17,https://www.mongodb.com/docs/manual/reference/change-events/create/,@Web,Auto,87040,4817,no,,1204,H3-yes,"@Web returns converted Markdown (readable text), not raw HTML. File saved as raw_output_BL-1.txt is 4,817 bytes of Markdown-formatted content. Expected HTML is ~85KB; conversion strips boilerplate, CSS, navigation. To measure raw HTML response, would need curl-based measurement outside Cursor chat. This explains perception gap: interpreted track (1,953 chars) vs raw track (4,817 bytes) — both are the same Markdown content, just formatted differently by Cursor chat UI. Hexdump analysis ends cleanly, not mid-character.",2.6.19,4817,d6ad8451d3778bf3544574431203a3a7,143,564,1,56,4
BL-2,2026-03-17T13:31:48.305660,2026-03-17,https://www.mongodb.com/docs/manual/reference/change-events/create.md,@Web,Auto,20480,4817,no,,1204,H3-yes,"BL-2 (Markdown source) returned identical size to BL-1 (HTML source): 4,817 bytes. Both return same 'create' event section (~4.8KB). Hexdump analysis ends cleanly and not mid-character. Suggests Cursor's content selection is not format-dependent for this URL pair — both HTML and .md source produce same filtered output.",2.6.19,4817,d6ad8451d3778bf3544574431203a3a7,143,564,2,57,4
SC-2,2026-03-17T14:08:01.777289,2026-03-17,https://docs.anthropic.com/en/api/messages,@Web,Auto,81920,248,yes,,62,"H1-na, H2-na, H3-na","FETCH TIMEOUT on both attempts via mcp_web_fetch. raw_output_SC-2.txt contains timeout notice only, no page content retrieved. Tool: mcp_web_fetch surfaced in error — confirms @Web routed to MCP path for this URL. Hypotheses non-applicable, no content to evaluate.",2.6.19,248,,6,45,0,0,0
SC-2,2026-03-17T14:29:22.397821,2026-03-17,https://docs.anthropic.com/en/api/messages,@Web,Auto,81920,702885,no,,178272,"H1-no, H2-no, H3-no","mcp_web_fetch; first attempt timed out internally, second succeeded. 702KB/178K tokens returned vs ~80KB expected — actual output is converted Markdown, not raw HTML. No truncation detected; content ends cleanly. Tool name mcp_web_fetch confirmed in tool result. New chat window opened between SC-2 run 1 (timeout) and this run. Token count measured via tiktoken cl100k_base.",2.6.19,702885,1b3c58298d12851a292f6b7b0977e684,35168,85160,50,0,100
OP-3,2026-03-17T15:22:30.930799,2026-03-17,https://httpbin.org/html,@Web,Auto,5120,3641,no,,847,"H1-no, H2-no, H3-no","mcp_web_fetch confirmed in tool results. Returned converted Markdown/text, not raw HTML — 3.6KB vs ~5KB expected. Content from httpbin.org/html: Moby-Dick excerpt with 'Content from...' header prepended by tool. Ends cleanly: period then LF. No truncation detected. OP-3 not executable as designed with this routing finding, MCP comparison as a possible follow-up.",2.6.19,3641,9ae3054fc37c1bb748bdf8369f8ecf02,5,610,0,0,2
OP-4,2026-03-17T16:20:12.694778,2026-03-17,https://www.mongodb.com/docs/atlas/atlas-search/tutorial/,@Web,Auto,256000,245465,no,,56182,H5-na,"Tool: mcp_web_fetch; 245KB returned vs ~250KB expected, no truncation detected.",2.6.19,245465,<md5>,<lines>,<words>,<code_blocks>,<table_rows>,<headers>
BL-3,2026-03-17T16:32:33.042988,2026-03-17,https://www.mongodb.com/docs/atlas/atlas-search/tutorial/,@Web,Auto,256000,245465,no,,56182,H1-no,"Tool: mcp_web_fetch; 239.7KB returned vs ~250KB expected, no truncation detected. Same URL and identical MD5 as OP-4 — content consistent across runs. No hard ceiling observed at this size; pushes H1 lower bound above 245KB. Cursor attempted CSV logging malformed row removed and replaced with this entry.",2.6.19,245465,554eb56e8416d86d12af17a2dfe6f815,5768,24867,241,10,100
SC-1,2026-03-17T16:57:55.817387,2026-03-17,https://ai.google.dev/gemini-api/docs/url-context,@Web,Auto,40960,403,yes,,102,"H1-na, H2-na, H3-na","FETCH TIMEOUT; mcp_web_fetch used twice, both attempts failed.raw_output_SC-1.txt contains timeout outcome record only, no page content retrieved. Same URL succeeded in Gemini URL-context tests — timeout likely due to mcp_web_fetch limits or network path to ai.google.dev, not test design. Hypotheses non-applicable. Cursor attempted CSV logging — malformed row removed and replaced with this entry; Cursor's autonomous sequencing created a ghost run of SC-2 without any metrics.",2.6.19,403,d825130f33e2cece2c9acda6335b5afe,11,52,0,0,0
SC-2,2026-03-17T18:47:38.228861,2026-03-17,https://docs.anthropic.com/en/api/messages,@Web,Auto,81920,505,yes,,127,"H1-na, H2-na, H3-na","FETCH TIMEOUT; mcp_web_fetch used, both attempts failed. No output file written — raw_output_SC-2.txt untouched from previous successful run. Cursor IDE stopped responding after run, session terminated. Hypotheses non-applicable. Third SC-2 raw run attempt.",2.6.19,505,7c07d6cc51262a08626ec6d9f56b391d,14,70,0,0,0
SC-2,2026-03-17T20:05:21.786937,2026-03-17,https://docs.anthropic.com/en/api/messages,@Web,Auto,81920,16103610,no,,4025903,"H1-na, H2-na, H3-na","FETCH TIMEOUT on WebFetch/mcp_web_fetch; Cursor autonomously fell back to curl -sL, saving 16MB raw Next.js HTML to raw_output_SC-2.txt — not the filtered @Web output. Content is full HTML payload from platform.claude.com (canonical URL), not the ~80KB @Web-filtered slice. MD5/counts are for curl output, not @Web output. Hypotheses non-applicable — wrong fetch mechanism. Token count is byte-based estimate, not tiktoken-measured.",2.6.19,16103610,741fa039c592277a39d8491fb90ba889,103577,1075088,18,0,19
